"년월","대여소명","대여건수","반납건수"
"202307","1565.수유사거리","1","0"
"202307","1569.수유역2번출구","0","3"
"202307","157. 애오개역 4번출구 앞","2","2"
"202307","1571.북서울 꿈의 숲 입구","1","3"
"202307","159. 이대역 4번 출구","2","3"
"202307","1602. 광운대역 앞","1","0"
"202307","1606. 태릉입구역 3번출구 ","1","0"
"202307","1608. 공릉역 1번 출구 앞","3","1"
"202307","161. 무악재역1번 출구","0","2"
"202307","1611. 과기대 입구(우)","4","1"
"202307","162. 봉원고가차도 밑","1","0"
"202307","1625. 상계역 3번출구","4","4"
"202307","163. 명지전문대학교 정문 앞","0","4"
"202307","1634. 당고개공원 대여소","1","1"
"202307","1635. 상계3.4동 주민센터 대여소","1","1"
"202307","1643. 태릉입구역 8번출구","8","5"
"202307","1656. 중앙하이츠 아파트 입구","1","1"
"202307","1661. 당현천근린공원","2","0"
"202307","1668. 중계역 6번출구","1","0"
"202307","1677. 육군사관학교  앞","1","1"
"202307","1684. 태릉입구역 5번출구","0","1"
"202307","169. 북가좌 삼거리","1","1"
"202307","171. 임광빌딩 앞","0","3"
"202307","1716. 창동역 1번출구 건너편","1","0"
"202307","1720. 도봉구청 옆(중랑천변)","3","3"
"202307","175. 홍연2교옆","0","1"
"202307","1750. 창포원 남쪽 입구","1","1"
"202307","176. 명지대학교 도서관","4","4"
"202307","1767.방학초등학교 앞","0","1"
"202307","177. 북가좌 초등학교","1","2"
"202307","178. 증산3교 앞","3","5"
"202307","180. 충정로역 7번출구 아래","1","2"
"202307","1805. 서울디지털운동장 앞","0","1"
"202307","1806. 에이스하이엔드타워9차 앞","0","2"
"202307","181. 망원초록길 입구","13","12"
"202307","1819. 금천구청 앞 자전거거치대","1","0"
"202307","182. 망원2빗물펌프장 앞","7","9"
"202307","1827. 독산보도육교 앞 자전거 보관소","6","6"
"202307","183. 하늘채코오롱아파트 건너편","5","0"
"202307","1834. 월드메르디앙 벤처센터 2차","1","0"
"202307","184. 7번가피자 서교망원점","10","22"
"202307","1846. 롯데캐슬골드파크1차 동문","2","0"
"202307","1849. 대륭포스트타워5차","1","0"
"202307","185. 마포 신수공원 앞","5","5"
"202307","186. 월드컵공원","8","9"
"202307","1863.위너스 스포츠클럽 골프연습장옆","1","0"
"202307","1867.대륭포스트타워6차 앞","4","2"
"202307","1906. 신도림역 1번 출구 앞","5","2"
"202307","191. 서우빌딩","1","0"
"202307","1911. 구로디지털단지역 앞","2","3"
"202307","1914. 대림역4번출구","0","1"
"202307","1925. 동양미래대학교 정문 옆","2","1"
"202307","194. 증산교 앞","2","0"
"202307","195. 모래내고가차도 ","1","0"
"202307","1955. 디지털입구 교차로","3","4"
"202307","1958. 강서수도사업소민원센터","0","1"
"202307","1961. 신도림테크노근린공원","3","1"
"202307","1962. 가리봉동주민센터","0","1"
"202307","198. 충정2교","8","2"
"202307","199. 서울 월드컵 경기장","7","1"
"202307","2000. 신도림4차 e편한세상 아파트 1109동 앞","2","3"
"202307","2002. 노들역 1번출구","12","14"
"202307","2003. 사육신공원앞","3","8"
"202307","2007. 유한양행앞","0","5"
"202307","2009. 보라매역 8번출구","0","2"
"202307","201. 진미파라곤 앞","18","17"
"202307","2012. 대림사거리(동작상떼빌아파트)","1","0"
"202307","2013. 장승배기역 5번출구","0","2"
"202307","202. 국민일보 앞","22","20"
"202307","2020. 장승배기역2번출구뒷편쪽","1","1"
"202307","2024. 상도역 1번출구","1","0"
"202307","2025. 흑석역 1번출구","9","15"
"202307","2026. 흑석역 4번출구","1","1"
"202307","2027. 중앙대학교 정문 1","21","9"
"202307","203. 국회의사당역 3번출구 옆","3","4"
"202307","2032. 이수역 11번출구쪽","0","1"
"202307","2037. 동작역 5번출구 동작주차공원","4","2"
"202307","2038. 동작역 7번출구","3","9"
"202307","204. 국회의사당역 5번출구 옆","7","14"
"202307","2040. 비계 버스정류소","2","3"
"202307","205. 산업은행 앞","4","2"
"202307","2050. 노량진역 5번출구","10","3"
"202307","2058. 동작경찰서","6","1"
"202307","2059. 보라매공원 정문","2","4"
"202307","206. KBS 앞","4","3"
"202307","2060. 남성역3번출구 뒤","2","3"
"202307","2061. 한강 현대아파트 건너편","1","0"
"202307","2065. 서울시여성가족재단","1","0"
"202307","2066. 양문교회 앞","1","0"
"202307","2069. 숭실대 입구역3번 출구 앞","0","1"
"202307","207. 여의나루역 1번출구 앞","349","328"
"202307","2070. 노량진역 2번 출구 앞","6","11"
"202307","2077.노들역 3번출구","4","2"
"202307","2078.흑석 아크로리버하임(103동)","1","0"
"202307","2079.중앙대학교 중앙광장","2","0"
"202307","2080. 대방지하보도(대방동경남아너스빌아파트)","2","2"
"202307","2082.7호선 이수역7번출구","2","0"
"202307","2085.강남중학교 앞","1","0"
"202307","2088.상도중앙하이츠빌 입구","0","1"
"202307","209. 유진투자증권빌딩 앞","28","13"
"202307","2090.기아자동차 사당점 앞","1","3"
"202307","2102. 봉림교 교통섬","2","6"
"202307","2104. 사당역 5번출구","2","1"
"202307","2106. 세이브마트","4","1"
"202307","2109. 은천로입구 가로공원","0","2"
"202307","2111. 서울대입구역 1번출구","4","2"
"202307","2115. 관악구시설관리공단","1","1"
"202307","213. KT앞","4","2"
"202307","2139. 서울신성초등학교","3","2"
"202307","214. 금융감독원 앞","5","8"
"202307","2140. 신림1교 교차로","2","0"
"202307","215. 여의도고교 앞","44","36"
"202307","2167. 낙성대역 1번출구","0","1"
"202307","2169. 봉천역 2번출구","2","0"
"202307","217. NH농협은행 앞","7","0"
"202307","2170. 조원동 강남힐병원","2","0"
"202307","2171. 서울대입구역 5번출구","1","0"
"202307","2172. 나들목공원","1","1"
"202307","2173. 당곡사거리","1","0"
"202307","2174. 삼성디지털프라자관악점","1","2"
"202307","2176. 보라매공원 보도육교","1","0"
"202307","2177. 신대방역 2번 출구","3","2"
"202307","2178. 서울대학교 정문","4","3"
"202307","2179. 양녕로 입구","2","1"
"202307","2183. 동방1교","3","7"
"202307","2184. 구암초등학교 버스정류장","0","1"
"202307","2185. 대학동 고시촌","1","1"
"202307","219. 롯데캐슬엠파이어 옆","5","6"
"202307","2191.대학동주민센터 ","0","4"
"202307","2198.사랑의병원","1","1"
"202307","220. 미성아파트 A동 앞","1","1"
"202307","2205. 내곡3단지 어린이공원 앞","1","1"
"202307","221. 여의도초교 앞","25","22"
"202307","2211. 서초구립반포도서관 앞","0","1"
"202307","2213. 고속터미널역 5번출구 앞","1","3"
"202307","2214. 신반포역 2번출구 앞","11","14"
"202307","2215. 반포종합운동장 입구","0","1"
"202307","2217.아크로리버뷰 부지 앞","47","38"
"202307","2219. 고속터미널역 8-1번, 8-2번 출구 사이","36","16"
"202307","222. 시범아파트버스정류장 옆","15","10"
"202307","2221. 방일초교 마을버스 정류장","1","0"
"202307","2222.사당역 12번출구 뒤","2","2"
"202307","223. 진주아파트상가 앞","2","0"
"202307","2231. 삼성타운(삼성생명) A동 맞은편","6","4"
"202307","2239.교대역 6번출구","1","0"
"202307","224. 롯데캐슬 앞","1","2"
"202307","2242.양재역 11번 출구 앞","1","0"
"202307","2244.교육개발원입구 교차로","1","1"
"202307","2246. 서울시 품질시험소 앞","0","1"
"202307","2247.섬들근린공원","1","1"
"202307","225. 앙카라공원 앞","9","1"
"202307","2252. 잔디마을 마을버스 정류장","0","3"
"202307","2255. 양재시민의숲역 1번출구","3","1"
"202307","2256.양재동 꽃시장 입구","1","0"
"202307","2259. 잠원역 3번-4번 출구사이 ","8","7"
"202307","226. 샛강역 1번출구 앞","3","6"
"202307","2262. 한신16차아파트 119동 앞","78","84"
"202307","2264. 이수역 1번출구","1","0"
"202307","2266. 서초역 3번출구","2","1"
"202307","2269. 주홍교 하부","3","4"
"202307","227. 양평2나들목 보행통로 입구","3","7"
"202307","2270. 서초포레스타 7단지","1","0"
"202307","2277. 길마중4교 하부","1","0"
"202307","2279. 교대역 5번출구뒤","3","0"
"202307","228. 선유도역 3번출구 앞","11","16"
"202307","2280. 서울서초고용센터앞","1","0"
"202307","2285. LH서초3단지 301동 맞은편","3","3"
"202307","2294. 두상빌딩 앞","1","0"
"202307","2297. 남부터미널역 1번출구","1","1"
"202307","230. 영등포구청역 1번출구","7","5"
"202307","2301. 현대고등학교 건너편","19","23"
"202307","2302. 교보타워 버스정류장(신논현역 3번출구 후면)","1","3"
"202307","2303. 논현역 10번출구","0","5"
"202307","2305. MCM 본사 직영점 앞","1","2"
"202307","2306. 압구정역 2번 출구 옆","17","16"
"202307","2307. 압구정 한양 3차 아파트","6","7"
"202307","2308. 압구정파출소 앞","7","3"
"202307","2309. 청담역(우리들병원 앞)","1","0"
"202307","231. 남부고용노동지청 남측","1","0"
