연월,자치구,연도,월,PM_사고건수,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해사고건수,PM_피해사고건수,야간사고건수
2019-06,동작구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,마포구,2019,6,1,0,0,1,0,1,1,0,1,0,0
2019-06,서대문구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,서초구,2019,6,1,0,0,1,0,1,1,0,1,0,0
2019-06,성동구,2019,6,1,0,0,1,0,1,1,0,1,0,0
2019-06,성북구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,송파구,2019,6,2,0,0,3,0,3,3,0,1,1,1
2019-06,양천구,2019,6,1,0,0,1,0,1,1,0,0,1,0
2019-06,영등포구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,용산구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,은평구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,종로구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-06,중구,2019,6,1,0,1,0,0,1,1,1,1,0,1
2019-06,중랑구,2019,6,0,0,0,0,0,0,0,0,0,0,0
2019-07,강남구,2019,7,8,0,2,5,1,8,8,2,4,4,3
2019-07,강동구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,강북구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,강서구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,관악구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,광진구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,구로구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,금천구,2019,7,1,0,1,0,0,1,1,1,1,0,1
2019-07,노원구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,도봉구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,동대문구,2019,7,1,0,1,0,0,1,1,1,1,0,0
2019-07,동작구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,마포구,2019,7,1,0,0,1,0,1,1,0,0,1,1
2019-07,서대문구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,서초구,2019,7,3,0,0,3,0,3,3,0,2,1,1
2019-07,성동구,2019,7,1,0,0,1,0,1,1,0,0,1,1
2019-07,성북구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,송파구,2019,7,1,0,1,0,0,1,1,1,1,0,0
2019-07,양천구,2019,7,1,0,0,0,1,1,1,0,0,1,1
2019-07,영등포구,2019,7,1,0,1,0,0,1,1,1,1,0,0
2019-07,용산구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,은평구,2019,7,1,0,0,0,1,1,1,0,0,1,0
2019-07,종로구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,중구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-07,중랑구,2019,7,0,0,0,0,0,0,0,0,0,0,0
2019-08,강남구,2019,8,6,0,3,2,1,6,6,3,4,2,3
2019-08,강동구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,강북구,2019,8,2,0,1,1,0,2,2,1,1,1,0
2019-08,강서구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,관악구,2019,8,2,0,1,1,0,2,2,1,1,1,1
2019-08,광진구,2019,8,4,0,1,4,0,5,5,1,4,0,3
2019-08,구로구,2019,8,1,0,0,1,0,1,1,0,1,0,1
2019-08,금천구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,노원구,2019,8,1,0,0,1,0,1,1,0,1,0,1
2019-08,도봉구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,동대문구,2019,8,1,0,0,1,0,1,1,0,0,1,0
2019-08,동작구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,마포구,2019,8,1,0,0,1,0,1,1,0,1,0,0
2019-08,서대문구,2019,8,3,0,0,2,1,3,3,0,3,0,1
2019-08,서초구,2019,8,1,0,0,1,0,1,1,0,0,1,0
2019-08,성동구,2019,8,1,0,0,0,1,1,1,0,1,0,0
2019-08,성북구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,송파구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,양천구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,영등포구,2019,8,2,0,0,2,0,2,2,0,2,0,1
2019-08,용산구,2019,8,1,0,1,0,0,1,1,1,0,1,1
2019-08,은평구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,종로구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,중구,2019,8,0,0,0,0,0,0,0,0,0,0,0
2019-08,중랑구,2019,8,1,0,0,1,0,1,1,0,1,0,1
2019-09,강남구,2019,9,8,0,2,5,2,9,9,2,5,3,2
2019-09,강동구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,강북구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,강서구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,관악구,2019,9,1,0,0,1,0,1,1,0,0,1,1
2019-09,광진구,2019,9,2,0,1,1,0,2,2,1,2,0,1
2019-09,구로구,2019,9,2,0,0,2,0,2,2,0,1,1,2
2019-09,금천구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,노원구,2019,9,1,0,0,1,0,1,1,0,1,0,1
2019-09,도봉구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,동대문구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,동작구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,마포구,2019,9,1,1,0,0,0,0,1,1,1,0,1
2019-09,서대문구,2019,9,1,0,0,0,1,1,1,0,1,0,0
2019-09,서초구,2019,9,4,0,2,2,1,5,5,2,3,1,1
2019-09,성동구,2019,9,1,0,1,0,2,3,3,1,0,1,0
2019-09,성북구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,송파구,2019,9,1,0,1,1,0,2,2,1,1,0,0
2019-09,양천구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,영등포구,2019,9,1,0,0,1,0,1,1,0,1,0,0
2019-09,용산구,2019,9,1,0,1,0,0,1,1,1,1,0,0
2019-09,은평구,2019,9,2,0,0,2,0,2,2,0,1,1,0
2019-09,종로구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,중구,2019,9,0,0,0,0,0,0,0,0,0,0,0
2019-09,중랑구,2019,9,1,0,0,1,0,1,1,0,1,0,0
2019-10,강남구,2019,10,10,0,2,5,3,10,10,2,8,2,5
2019-10,강동구,2019,10,3,0,0,3,0,3,3,0,2,1,1
2019-10,강북구,2019,10,1,0,1,0,0,1,1,1,0,1,1
2019-10,강서구,2019,10,2,0,1,0,1,2,2,1,2,0,1
2019-10,관악구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,광진구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,구로구,2019,10,1,0,0,1,0,1,1,0,0,1,0
2019-10,금천구,2019,10,1,0,0,1,0,1,1,0,1,0,1
2019-10,노원구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,도봉구,2019,10,1,0,0,0,1,1,1,0,1,0,0
2019-10,동대문구,2019,10,1,0,0,1,0,1,1,0,0,1,0
2019-10,동작구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,마포구,2019,10,2,0,1,1,0,2,2,1,0,2,2
2019-10,서대문구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,서초구,2019,10,4,0,1,3,1,5,5,1,2,2,1
2019-10,성동구,2019,10,1,0,1,0,0,1,1,1,1,0,0
2019-10,성북구,2019,10,1,0,0,1,0,1,1,0,0,1,0
2019-10,송파구,2019,10,5,0,1,3,1,5,5,1,3,2,2
2019-10,양천구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,영등포구,2019,10,1,0,0,0,1,1,1,0,0,1,1
2019-10,용산구,2019,10,1,0,0,1,0,1,1,0,0,1,1
2019-10,은평구,2019,10,1,0,0,1,0,1,1,0,1,0,0
2019-10,종로구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,중구,2019,10,0,0,0,0,0,0,0,0,0,0,0
2019-10,중랑구,2019,10,1,0,0,1,0,1,1,0,0,1,0
2019-11,강남구,2019,11,11,0,4,6,1,11,11,4,5,6,5
2019-11,강동구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,강북구,2019,11,1,0,1,0,0,1,1,1,0,1,0
2019-11,강서구,2019,11,1,0,1,0,0,1,1,1,0,1,0
2019-11,관악구,2019,11,1,0,1,0,0,1,1,1,1,0,0
2019-11,광진구,2019,11,1,0,0,1,0,1,1,0,1,0,1
2019-11,구로구,2019,11,1,0,1,0,0,1,1,1,0,1,0
2019-11,금천구,2019,11,3,0,3,0,0,3,3,3,2,1,1
2019-11,노원구,2019,11,1,0,0,1,0,1,1,0,1,0,1
2019-11,도봉구,2019,11,1,0,1,0,0,1,1,1,1,0,0
2019-11,동대문구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,동작구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,마포구,2019,11,1,0,0,0,1,1,1,0,1,0,0
2019-11,서대문구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,서초구,2019,11,8,0,0,6,2,8,8,0,4,4,4
2019-11,성동구,2019,11,2,0,1,1,0,2,2,1,1,1,1
2019-11,성북구,2019,11,3,0,1,1,1,3,3,1,2,1,1
2019-11,송파구,2019,11,1,0,0,1,0,1,1,0,1,0,1
2019-11,양천구,2019,11,1,0,0,1,0,1,1,0,0,1,1
2019-11,영등포구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,용산구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,은평구,2019,11,1,0,0,1,0,1,1,0,0,1,1
2019-11,종로구,2019,11,1,0,0,1,0,1,1,0,1,0,0
2019-11,중구,2019,11,0,0,0,0,0,0,0,0,0,0,0
2019-11,중랑구,2019,11,3,0,1,2,0,3,3,1,2,1,2
2019-12,강남구,2019,12,4,0,0,2,2,4,4,0,4,0,4
2019-12,강동구,2019,12,1,0,1,0,0,1,1,1,0,1,0
2019-12,강북구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,강서구,2019,12,2,0,2,0,0,2,2,2,1,1,0
2019-12,관악구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,광진구,2019,12,1,0,1,0,0,1,1,1,1,0,0
2019-12,구로구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,금천구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,노원구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,도봉구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,동대문구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,동작구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,마포구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,서대문구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,서초구,2019,12,3,0,0,2,1,3,3,0,3,0,1
2019-12,성동구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,성북구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,송파구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,양천구,2019,12,1,0,1,0,0,1,1,1,1,0,1
2019-12,영등포구,2019,12,4,0,1,3,0,4,4,1,1,3,2
2019-12,용산구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,은평구,2019,12,3,0,1,2,0,3,3,1,3,0,0
2019-12,종로구,2019,12,0,0,0,0,0,0,0,0,0,0,0
2019-12,중구,2019,12,1,0,0,1,0,1,1,0,0,1,1
2019-12,중랑구,2019,12,1,0,0,0,1,1,1,0,0,1,0
2020-01,강남구,2020,1,5,0,1,4,1,6,6,1,4,1,4
2020-01,강동구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,강북구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,강서구,2020,1,1,0,0,2,0,2,2,0,1,0,1
2020-01,관악구,2020,1,1,0,0,1,0,1,1,0,0,1,1
2020-01,광진구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,구로구,2020,1,1,0,0,0,1,1,1,0,0,1,1
2020-01,금천구,2020,1,2,0,1,2,0,3,3,1,1,1,1
2020-01,노원구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,도봉구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,동대문구,2020,1,2,0,1,0,1,2,2,1,1,1,2
2020-01,동작구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,마포구,2020,1,1,0,1,0,0,1,1,1,1,0,1
2020-01,서대문구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,서초구,2020,1,2,0,0,2,0,2,2,0,1,1,0
2020-01,성동구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,성북구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,송파구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,양천구,2020,1,1,0,1,0,0,1,1,1,1,0,0
2020-01,영등포구,2020,1,1,0,1,0,0,1,1,1,1,0,1
2020-01,용산구,2020,1,1,0,1,0,0,1,1,1,1,0,0
2020-01,은평구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,종로구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,중구,2020,1,0,0,0,0,0,0,0,0,0,0,0
2020-01,중랑구,2020,1,1,0,1,0,0,1,1,1,0,1,1
2020-02,강남구,2020,2,14,0,1,7,6,14,14,1,10,4,10
2020-02,강동구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,강북구,2020,2,1,0,0,1,0,1,1,0,1,0,1
2020-02,강서구,2020,2,1,0,0,1,0,1,1,0,0,1,0
2020-02,관악구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,광진구,2020,2,1,0,0,1,0,1,1,0,1,0,1
2020-02,구로구,2020,2,2,0,1,1,0,2,2,1,1,1,0
2020-02,금천구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,노원구,2020,2,2,0,0,1,1,2,2,0,1,1,0
2020-02,도봉구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,동대문구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,동작구,2020,2,1,0,1,0,0,1,1,1,0,1,1
2020-02,마포구,2020,2,1,0,0,1,0,1,1,0,1,0,0
2020-02,서대문구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,서초구,2020,2,1,0,1,0,0,1,1,1,0,1,1
2020-02,성동구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,성북구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,송파구,2020,2,2,0,0,0,2,2,2,0,1,1,0
2020-02,양천구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,영등포구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,용산구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,은평구,2020,2,0,0,0,0,0,0,0,0,0,0,0
2020-02,종로구,2020,2,3,0,2,1,0,3,3,2,2,1,1
2020-02,중구,2020,2,1,0,0,1,0,1,1,0,1,0,1
2020-02,중랑구,2020,2,1,0,0,1,0,1,1,0,0,1,1
2020-03,강남구,2020,3,2,0,1,1,0,2,2,1,0,2,1
2020-03,강동구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,강북구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,강서구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,관악구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,광진구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,구로구,2020,3,1,0,0,1,0,1,1,0,0,1,0
2020-03,금천구,2020,3,1,0,0,1,0,1,1,0,1,0,1
2020-03,노원구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,도봉구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,동대문구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,동작구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,마포구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,서대문구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,서초구,2020,3,4,0,3,1,0,4,4,3,1,4,1
2020-03,성동구,2020,3,1,0,0,1,0,1,1,0,1,0,0
2020-03,성북구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,송파구,2020,3,4,0,1,4,0,5,5,1,2,2,0
2020-03,양천구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,영등포구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,용산구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-03,은평구,2020,3,2,0,2,0,0,2,2,2,0,2,0
2020-03,종로구,2020,3,1,0,1,0,0,1,1,1,1,0,1
2020-03,중구,2020,3,1,1,0,0,0,0,1,1,0,1,0
2020-03,중랑구,2020,3,0,0,0,0,0,0,0,0,0,0,0
2020-04,강남구,2020,4,15,0,4,7,6,17,17,4,10,5,9
2020-04,강동구,2020,4,0,0,0,0,0,0,0,0,0,0,0
2020-04,강북구,2020,4,1,0,0,1,0,1,1,0,1,0,0
2020-04,강서구,2020,4,0,0,0,0,0,0,0,0,0,0,0
