사고ID,연월,연도,월,자치구,주야,사고내용,사고유형,사고유형_대분류,사고유형_소분류,법규위반,노면상태,기상상태,도로형태,도로형태_대분류,도로형태_소분류,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해여부,PM_피해여부,PM_역할,가해운전자_차종,가해운전자_성별,가해운전자_연령대,가해운전자_상해정도,피해운전자_차종,피해운전자_성별,피해운전자_연령대,피해운전자_상해정도,원본파일
2019073462,2019-05,2019,5,영등포구,주간,중상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,이륜,남,65세 이상,중상,2019.xlsx
2019081692,2019-05,2019,5,은평구,야간,중상사고,차대사람 - 횡단중,차대사람,횡단중,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,51-60세,중상,2019.xlsx
2019087180,2019-05,2019,5,중구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전거리미확보,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,화물,남,41-50세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019073925,2019-05,2019,5,중랑구,주간,경상사고,차대차 - 추돌,차대차,추돌,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,65세 이상,경상,승용,남,41-50세,상해없음,2019.xlsx
2019095547,2019-06,2019,6,강남구,주간,경상사고,차대차 - 충돌,차대차,충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,여,21-30세,상해없음,개인형이동수단(PM),여,21-30세,경상,2019.xlsx
2019096537,2019-06,2019,6,강남구,야간,경상사고,차대차 - 기타,차대차,기타,기타,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,경상,승용,남,65세 이상,상해없음,2019.xlsx
2019096849,2019-06,2019,6,강남구,주간,중상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,N,Y,피해,승용,여,51-60세,기타불명,개인형이동수단(PM),여,21-30세,중상,2019.xlsx
2019096876,2019-06,2019,6,강남구,주간,부상신고사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,기타 - 기타,기타,기타,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),여,21-30세,부상신고,승용,남,31-40세,상해없음,2019.xlsx
2019099535,2019-06,2019,6,강남구,주간,경상사고,차대사람 - 보도통행중,차대사람,보도통행중,기타,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,65세 이상,경상,2019.xlsx
2019098494,2019-06,2019,6,강서구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),여,21-30세,경상,승용,남,41-50세,상해없음,2019.xlsx
2019092787,2019-06,2019,6,광진구,주간,경상사고,차대사람 - 횡단중,차대사람,횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,12세 이하,경상,2019.xlsx
2019099271,2019-06,2019,6,동대문구,주간,중상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,1,0,0,1,1,1,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),남,61-64세,중상,2019.xlsx
2019103503,2019-06,2019,6,마포구,주간,경상사고,차대사람 - 기타,차대사람,기타,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,51-60세,경상,2019.xlsx
2019105631,2019-06,2019,6,서초구,주간,경상사고,차대사람 - 횡단중,차대사람,횡단중,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),기타불명,기타불명,기타불명,보행자,남,51-60세,경상,2019.xlsx
2019089481,2019-06,2019,6,성동구,주간,경상사고,차대차 - 기타,차대차,기타,신호위반,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),여,21-30세,경상,승용,남,65세 이상,상해없음,2019.xlsx
2019093523,2019-06,2019,6,송파구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,2,0,2,2,0,N,Y,피해,승합,남,51-60세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
2019103587,2019-06,2019,6,송파구,주간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,승용,남,21-30세,상해없음,2019.xlsx
2019099276,2019-06,2019,6,양천구,주간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,여,31-40세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
2019102540,2019-06,2019,6,중구,야간,중상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),여,21-30세,중상,화물,남,31-40세,상해없음,2019.xlsx
