'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','1937',' 한진아파트 입구','일일(회원)','F','50대',1,40.15,0.36,1560,9
'2018-05','222',' 시범아파트버스정류장 옆','일일(회원)','F','50대',1,91.12,0.82,3540,25
'2018-05','2002',' 노들역 1번출구','일일(회원)','F','50대',19,3586.23,36.15,155880,1273
'2018-05','2013',' 장승배기역 5번출구','일일(회원)','F','50대',1,23.23,0.27,1150,7
'2018-05','2016',' 신대방삼거리역 3번출구쪽','일일(회원)','F','50대',1,26.86,0.31,1330,9
'2018-05','2020',' 장승배기역2번출구뒷편쪽','일일(회원)','F','50대',1,18.38,0.21,910,8
'2018-05','2024',' 상도역 1번출구','일일(회원)','F','50대',1,155.23,1.3,5600,34
'2018-05','2025',' 흑석역 1번출구','일일(회원)','F','50대',16,4345.73,38.45,165830,881
'2018-05','2027',' 중앙대학교 정문','일일(회원)','F','50대',1,186.87,1.68,7260,87
'2018-05','2050',' 노량진역 5번출구','일일(회원)','F','50대',2,116.86,1.05,4540,29
'2018-05','105',' 합정역 5번출구 앞','일일(회원)','F','50대',1,34.93,0.42,1800,25
'2018-05','224',' 롯데캐슬 앞','일일(회원)','F','50대',3,666.47,6.69,28810,147
'2018-05','2057',' 상도 아이파크 아파트','일일(회원)','F','50대',1,39.64,0.36,1540,6
'2018-05','2102',' 봉림교 교통섬','일일(회원)','F','50대',10,2545.81,23.6,101770,774
'2018-05','2103',' 신림동 우방아파트','일일(회원)','F','50대',2,180.02,1.66,7150,89
'2018-05','2105',' 미성동 신림체육센터','일일(회원)','F','50대',1,266.67,2.23,9620,78
'2018-05','2135',' 신림역 5번출구','일일(회원)','F','50대',2,80.3,0.85,3630,24
'2018-05','2144',' 난우길입구','일일(회원)','F','50대',1,81.44,1.06,4570,72
'2018-05','225',' 앙카라공원 앞','일일(회원)','F','50대',4,705.98,6.31,27170,209
'2018-05','2153',' 서울남부초등학교 옆','일일(회원)','F','50대',1,44.35,0.37,1600,14
'2018-05','2157',' 난곡 사거리','일일(회원)','F','50대',2,79.83,0.78,3360,19
'2018-05','2107',' 도림천 신화교','일일(회원)','F','50대',4,921.45,9.55,41170,277
'2018-05','2108',' 은천치안센터','일일(회원)','F','50대',3,60.24,0.74,3220,27
'2018-05','2112',' 서울대입구역 마에스트로','일일(회원)','F','50대',2,338.09,3.67,15810,107
'2018-05','2116',' 에이스에이존빌딩','일일(회원)','F','50대',2,117.27,1.3,5580,51
'2018-05','2122',' 낙성대로 입구','일일(회원)','F','50대',3,162.45,1.47,6360,89
'2018-05','226',' 샛강역 1번출구 앞','일일(회원)','F','50대',5,423.5,3.41,14690,121
'2018-05','2129',' 낙성대 과학전시관','일일(회원)','F','50대',2,156.53,1.44,6230,72
