연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,142,263,643500.0,3971,마포구
2018-01,1420,66,139360.0,938,중랑구
2018-01,1421,39,206510.0,731,중랑구
2018-01,1422,31,108020.0,417,중랑구
2018-01,1424,23,61460.0,644,중랑구
2018-01,1425,47,128650.0,1145,중랑구
2018-01,1426,75,289950.0,1341,중랑구
2018-01,1427,41,142440.0,1017,중랑구
2018-01,1428,120,312710.0,1930,중랑구
2018-01,1429,80,493100.0,2761,중랑구
2018-01,143,172,413810.0,3830,마포구
2018-01,1430,118,339130.0,1626,중랑구
2018-01,1431,121,450830.0,1437,중랑구
2018-01,1433,111,444180.0,2172,중랑구
2018-01,1434,28,104570.0,603,중랑구
2018-01,1435,20,87540.0,452,중랑구
2018-01,1436,53,164520.0,648,중랑구
2018-01,1437,62,195900.0,1114,중랑구
2018-01,1438,176,456170.0,2476,중랑구
2018-01,144,343,1063700.0,6368,마포구
2018-01,1440,90,362680.0,1987,중랑구
2018-01,1441,73,245340.0,1456,중랑구
2018-01,1442,50,216050.0,1424,중랑구
2018-01,1443,52,251390.0,1048,중랑구
2018-01,1445,11,50030.0,426,중랑구
2018-01,1446,66,242510.0,1357,중랑구
2018-01,1447,67,189840.0,2352,중랑구
2018-01,1448,108,440130.0,2231,중랑구
2018-01,145,283,552570.0,5772,마포구
2018-01,146,254,1042000.0,5511,마포구
2018-01,147,205,836230.0,6137,마포구
2018-01,148,208,949540.0,4766,마포구
2018-01,150,252,621340.0,3767,마포구
2018-01,1501,76,342180.0,1740,강북구
2018-01,1503,209,658280.0,4234,강북구
2018-01,1504,79,219120.0,1311,강북구
2018-01,1506,118,497600.0,2940,강북구
2018-01,1509,57,253850.0,1557,강북구
2018-01,151,253,791090.0,4760,마포구
2018-01,1510,43,79870.0,774,강북구
2018-01,1511,31,112610.0,964,강북구
2018-01,1512,70,498420.0,2042,강북구
2018-01,1513,21,42560.0,356,강북구
2018-01,1514,136,478480.0,2849,강북구
2018-01,1515,77,364090.0,1865,강북구
2018-01,1516,21,99220.0,939,강북구
2018-01,1518,37,223530.0,1216,강북구
2018-01,1519,62,190200.0,1197,강북구
2018-01,152,355,1332020.0,9421,마포구
2018-01,1520,56,73500.0,633,강북구
2018-01,1522,43,241350.0,1477,강북구
2018-01,1525,53,115860.0,924,강북구
2018-01,1526,25,88980.0,584,강북구
2018-01,1527,50,120990.0,1928,강북구
2018-01,1528,37,64150.0,391,강북구
2018-01,1529,74,231300.0,1858,강북구
2018-01,153,475,1346760.0,9660,마포구
2018-01,1530,75,152900.0,955,강북구
2018-01,1531,135,538490.0,3337,강북구
2018-01,1532,31,107930.0,794,강북구
2018-01,1533,54,202870.0,1238,강북구
2018-01,1534,30,172590.0,1408,강북구
2018-01,1535,117,382260.0,2496,강북구
2018-01,1536,122,253860.0,2534,강북구
2018-01,154,326,971030.0,7384,마포구
2018-01,155,280,705820.0,4302,마포구
2018-01,156,276,748270.0,4355,마포구
2018-01,157,312,860970.0,4983,마포구
2018-01,158,208,519420.0,3041,서대문구
2018-01,159,245,749270.0,3134,서대문구
2018-01,160,178,499700.0,3527,서대문구
2018-01,1601,182,679380.0,3695,노원구
2018-01,1602,121,361810.0,2588,노원구
2018-01,1603,45,186580.0,1366,미상
2018-01,1605,79,287250.0,1831,노원구
2018-01,1606,98,293970.0,1903,노원구
2018-01,1608,192,532880.0,3626,노원구
2018-01,161,61,231860.0,1392,서대문구
2018-01,1610,167,526000.0,4243,노원구
2018-01,1611,77,183130.0,1313,노원구
2018-01,1616,179,599890.0,3138,노원구
2018-01,1617,46,191730.0,990,노원구
