'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-02','307',' 서울역사박물관 앞','일일(회원)','M','30대',5,530.5,4.01,17290,179
'2018-02','1975',' 대림역 1번 출입구 밑','일일(회원)','M','30대',3,274.7,2.17,9350,112
'2018-02','1976',' 남구로역 5번 출입구 앞','일일(회원)','M','30대',2,61.14,0.45,1930,15
'2018-02','308',' 광화문 S타워 앞','일일(회원)','M','30대',3,131.91,1.05,4510,32
'2018-02','309',' 광화문역 6번출구 옆','일일(회원)','M','30대',2,117.98,1.04,4500,24
'2018-02','310',' 청계광장 옆','일일(회원)','M','30대',11,2107.2,18.83,81240,143
'2018-02','311',' 서울광장 옆','일일(회원)','M','30대',7,685.9,5.68,24430,186
'2018-02','312',' 시청역 1번출구 뒤','일일(회원)','M','30대',7,687.41,4.98,21410,511
'2018-02','313',' 서울역 광장 파출소 옆','일일(회원)','M','30대',1,26.73,0.17,750,8
'2018-02','314',' 국립현대미술관','일일(회원)','M','30대',4,367.15,3.01,12970,81
'2018-02','315',' 신한은행 안국역지점 옆','일일(회원)','M','30대',4,1336.22,9.99,43030,132
'2018-02','316',' 종각역 1번출구 앞','일일(회원)','M','30대',8,542.98,3.99,17210,143
'2018-02','827',' 국군복지단','일일(회원)','M','30대',1,152.64,1.38,5930,38
'2018-02','828',' 숙대입구역 8번','일일(회원)','M','30대',5,483.05,4.07,17580,90
'2018-02','1449',' 상봉역 1번출구','일일(회원)','M','30대',1,54.01,0.36,1550,5
'2018-02','318',' 광교사거리 남측','일일(회원)','M','30대',1,49.66,0.48,2090,51
'2018-02','320',' 을지로입구역 4번출구 앞','일일(회원)','M','30대',7,636.96,4.88,21050,137
'2018-02','321',' KEB 하나은행 본점 앞','일일(회원)','M','30대',9,1143.5,10.22,44070,296
'2018-02','322',' 명동성당 앞','일일(회원)','M','30대',6,415.01,2.89,12490,158
'2018-02','116',' 일진아이윌아파트 옆','일일(회원)','M','30대',1,53.22,0.39,1680,4
'2018-02','324',' 신세계백화점 본점 앞','일일(회원)','M','30대',5,451.5,3.01,12930,176
'2018-02','326',' 안국역 5번출구 앞','일일(회원)','M','30대',5,310.96,2.48,10680,93
'2018-02','327',' 낙원상가 옆','일일(회원)','M','30대',3,108.71,0.83,3600,39
'2018-02','328',' 탑골공원 앞','일일(회원)','M','30대',6,752.9,6.45,27790,180
'2018-02','329',' 청계2가 사거리 옆','일일(회원)','M','30대',5,908.76,6.97,30080,193
'2018-02','330',' 청계천 한빛광장','일일(회원)','M','30대',3,364.35,2.84,12260,64
'2018-02','331',' 을지로2가 사거리 북측','일일(회원)','M','30대',4,161.8,1.18,5090,40
'2018-02','332',' 을지로2가 사거리 남측','일일(회원)','M','30대',2,131.36,0.88,3800,37
'2018-02','111',' 상수역 2번출구 앞','일일(회원)','M','30대',1,49.03,0.35,1510,5
'2018-02','334',' 종로3가역 2번출구 뒤','일일(회원)','M','30대',2,98.43,0.77,3300,37
'2018-02','335',' 종로3가역 15번출구 앞','일일(회원)','M','30대',1,132.42,0.97,4180,59
'2018-02','337',' 창경궁 입구','일일(회원)','M','30대',3,101.44,0.9,3870,29
'2018-02','338',' 세운스퀘어 앞','일일(회원)','M','30대',4,468.54,3.9,16820,104
'2018-02','339',' 종로4가 사거리','일일(회원)','M','30대',5,354.72,2.84,12280,110
'2018-02','340',' 혜화동 로터리','일일(회원)','M','30대',5,455.58,3.39,14590,256
'2018-02','341',' 혜화역 3번출구 뒤','일일(회원)','M','30대',1,247.36,2.23,9610,54
'2018-02','342',' 대학로 마로니에공원','일일(회원)','M','30대',5,204.66,1.64,7090,53
'2018-02','343',' 예일빌딩(율곡로) 앞','일일(회원)','M','30대',8,1511.03,13.25,57130,395
'2018-02','112',' 극동방송국 앞','일일(회원)','M','30대',10,503.58,3.43,14770,138
'2018-02','344',' 성균관대 E하우스 앞','일일(회원)','M','30대',3,408.27,2.71,11720,89
'2018-02','345',' 서울보증보험본사 앞','일일(회원)','M','30대',2,42.13,0.35,1520,9
'2018-02','346',' 맥스타일 앞','일일(회원)','M','30대',13,1289.86,10.66,45960,315
'2018-02','347',' 동대문역사문화공원역 9번출구 앞','일일(회원)','M','30대',7,1772.88,14.03,60470,333
'2018-02','349',' 사직동주민센터','일일(회원)','M','30대',1,32.85,0.28,1220,7
'2018-02','351',' 청운초교 앞 삼거리','일일(회원)','M','30대',3,336.1,2.75,11830,67
'2018-02','352',' 중앙고입구 삼거리','일일(회원)','M','30대',1,59.97,0.54,2330,9
'2018-02','353',' 재동초교 앞 삼거리','일일(회원)','M','30대',5,266.59,2.34,10120,58
'2018-02','117',' 홍은사거리','일일(회원)','M','30대',1,272.02,2.18,9410,44
'2018-02','354',' 포르투갈 대사관 앞','일일(회원)','M','30대',1,50.49,0.39,1700,9
'2018-02','355',' 서울사대부속초교 앞','일일(회원)','M','30대',1,72.63,0.61,2620,15
'2018-02','356',' KT혜화지사 앞','일일(회원)','M','30대',1,28.83,0.24,1040,5
'2018-02','358',' 성대입구 사거리','일일(회원)','M','30대',2,245.04,1.51,6490,40
